1 Threads, res = 1.0000000785399288, time = 0.6382s
2 Threads, res = 1.0000000785398064, time = 0.6391s
3 Threads, res = 1.0000000785397951, time = 0.6407s
4 Threads, res = 1.000000078539799, time = 0.6393s
5 Threads, res = 1.000000078539829, time = 0.6399s
6 Threads, res = 1.0000000785398302, time = 0.6334s
7 Threads, res = 1.000000078539817, time = 0.6333s
8 Threads, res = 1.0000000785398042, time = 0.6354s
9 Threads, res = 1.0000000785398095, time = 0.6339s
10 Threads, res = 1.0000000785398195, time = 0.6360s
11 Threads, res = 1.000000078539816, time = 0.6361s
12 Threads, res = 1.0000000785398147, time = 0.6353s
13 Threads, res = 1.000000078539822, time = 0.6355s
14 Threads, res = 1.0000000785398069, time = 0.6375s
15 Threads, res = 1.0000000785398258, time = 0.6366s
1 Processes, res = 1.0000000785399288, time = 0.6895s
2 Processes, res = 1.0000000785398064, time = 0.3775s
3 Processes, res = 1.0000000785397951, time = 0.2741s
4 Processes, res = 1.000000078539799, time = 0.2205s
5 Processes, res = 1.000000078539829, time = 0.2169s
6 Processes, res = 1.0000000785398302, time = 0.2059s
7 Processes, res = 1.000000078539817, time = 0.2026s
8 Processes, res = 1.0000000785398042, time = 0.2147s
9 Processes, res = 1.0000000785398095, time = 0.2176s
10 Processes, res = 1.0000000785398195, time = 0.2242s
11 Processes, res = 1.000000078539816, time = 0.2245s
12 Processes, res = 1.0000000785398147, time = 0.2332s
13 Processes, res = 1.000000078539822, time = 0.2452s
14 Processes, res = 1.0000000785398069, time = 0.2441s
15 Processes, res = 1.0000000785398258, time = 0.2630s
